"Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Fls_Performance","Fld_Performance","Off_Performance","Crs_Performance","TklW_Performance","OG_Performance","PKwon_Performance","PKcon_Performance"
"Gavi","2022-2023","11/8/22","Tue","La Liga","Matchweek 14","Away","W 2–1","Barcelona","Osasuna","N","LM,CB",17,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,4,5,80,0,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","11/23/22","Wed","World Cup","Group stage","Neutral","W 7–0","Spain","Costa Rica","Y","RM",90,1,0,0,0,1,1,0,0,87,1,0,1,0.1,0.1,0.1,2,1,67,74,90.5,7,60,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","11/27/22","Sun","World Cup","Group stage","Neutral","D 1–1","Spain","Germany","Y","RM",65,0,0,0,0,0,0,0,0,22,4,0,1,0,0,0,1,0,9,12,75,2,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","12/1/22","Thu","World Cup","Group stage","Neutral","L 1–2","Spain","Japan","Y","RM",67,0,0,0,0,0,0,0,0,50,2,1,1,0,0,0,1,0,39,46,84.8,0,34,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","12/6/22","Tue","World Cup","Round of 16","Neutral","D 0 (0)–0 (3)","Spain","Morocco","Y","RM",62,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,1,0,18,22,81.8,1,14,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","12/31/22","Sat","La Liga","Matchweek 15","Home","D 1–1","Barcelona","Espanyol","Y","RM",51,0,0,0,0,2,1,1,0,31,1,0,0,0.4,0.4,0.1,4,0,24,26,92.3,4,24,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/4/23","Wed","Copa del Rey","Round of 32","Away","W 4–3","Barcelona","Intercity","N","",61,0,1,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/8/23","Sun","La Liga","Matchweek 16","Away","W 1–0","Barcelona","Atlético Madrid","Y","RM",72,0,1,0,0,1,0,0,0,50,1,0,1,0,0,0.1,1,1,34,39,87.2,3,35,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/12/23","Thu","Supercopa de España","Semi-finals","Away","D 2 (4)–2 (2)","Barcelona","Betis","Y","CM",95,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavi","2022-2023","1/15/23","Sun","Supercopa de España","Final","Away","W 3–1","Barcelona","Real Madrid","Y","AM",89,1,2,0,0,1,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
